index,Route,MeanRating,MeanSentimentScore,DominantSentiment,RouteCount,airline
1,Istanbul -> Stansted,1.0,-0.4032,Negative,3,Pegasus Airlines
2,Amsterdam -> Beirut -> Istanbul,1.5,-0.66855,Negative,2,Pegasus Airlines
3,Amsterdam -> Istanbul,2.0,0.2691,Negative,2,Pegasus Airlines
4,Antalya -> Istanbul,1.0,-0.65205,Negative,2,Pegasus Airlines
5,Bodrum -> Ankara,8.5,0.8864,Positive,2,Pegasus Airlines
6,Istanbul -> Athens,1.0,-0.1688499999999999,Neutral,2,Pegasus Airlines
7,Istanbul -> London,2.0,0.63405,Positive,2,Pegasus Airlines
8,Dubai -> Istanbul,1.0,-0.8752,Negative,1,Pegasus Airlines
9,Istanbul -> Kuwait,1.0,0.2297,Neutral,1,Pegasus Airlines
0,London -> Stockholm,2.0,-0.5877333333333333,Negative,6,SAS Group
1,Stockholm -> London,2.6666666666666665,0.0411999999999999,Positive,6,SAS Group
2,Athens -> Copenhagen,1.5,0.830225,Positive,4,SAS Group
3,Copenhagen -> London,1.5,0.0275499999999999,Positive,4,SAS Group
4,Copenhagen -> Newark,5.75,0.89075,Positive,4,SAS Group
5,London -> Copenhagen,1.75,-0.138175,Negative,4,SAS Group
6,London -> Oslo,2.75,0.097025,Positive,4,SAS Group
7,Los Angeles -> Copenhagen,1.5,-0.365625,Negative,4,SAS Group
8,Frankfurt -> Stockholm,4.333333333333333,0.4075666666666667,Positive,3,SAS Group
9,Stockholm -> Berlin,3.6666666666666665,0.8987666666666666,Positive,3,SAS Group
